symbol,level,type,reason,invalidation_or_confirmation
CL,97,Resistance,Upside level / supply zone,Break + hold above confirms upside
CL,101.67,Resistance,Upside level / supply zone,Break + hold above confirms upside
CL,63.6,Support,Downside level / demand zone,Close below opens further downside
CL,61.87,Support,Downside level / demand zone,Close below opens further downside
CL,73.73,Invalidation,Flips the near-term view,Close beyond changes the bias
ES,7584.5,Resistance,Upside level / supply zone,Break + hold above confirms upside
ES,7632.25,Resistance,Upside level / supply zone,Break + hold above confirms upside
ES,7354.25,Support,Downside level / demand zone,Close below opens further downside
ES,7232.25,Support,Downside level / demand zone,Close below opens further downside
ES,7352.28,Invalidation,Flips the near-term view,Close beyond changes the bias
